objective,operator,n,seed,hit_generation,censored,status
hamming,insert,12,14,10000,True,skipped
hamming,insert,14,0,10000,True,skipped
hamming,insert,14,1,10000,True,skipped
hamming,insert,14,2,10000,True,skipped
hamming,insert,14,3,10000,True,skipped
hamming,insert,14,4,10000,True,skipped
hamming,insert,14,5,10000,True,skipped
hamming,insert,14,6,10000,True,skipped
hamming,insert,14,7,10000,True,skipped
hamming,insert,14,8,10000,True,skipped
hamming,insert,14,9,10000,True,skipped
hamming,insert,14,10,10000,True,skipped
hamming,insert,14,11,10000,True,skipped
hamming,insert,14,12,10000,True,skipped
hamming,insert,14,13,10000,True,skipped
hamming,insert,14,14,10000,True,skipped
hamming,insert,16,0,10000,True,skipped
hamming,insert,16,1,10000,True,skipped
hamming,insert,16,2,10000,True,skipped
hamming,insert,16,3,10000,True,skipped
hamming,insert,16,4,10000,True,skipped
hamming,insert,16,5,10000,True,skipped
hamming,insert,16,6,10000,True,skipped
hamming,insert,16,7,10000,True,skipped
hamming,insert,16,8,10000,True,skipped
hamming,insert,16,9,10000,True,skipped
hamming,insert,16,10,10000,True,skipped
hamming,insert,16,11,10000,True,skipped
hamming,insert,16,12,10000,True,skipped
hamming,insert,16,13,10000,True,skipped
hamming,insert,16,14,10000,True,skipped
hamming,inversion,6,0,107,False,ok
hamming,inversion,6,1,32,False,ok
hamming,inversion,6,2,10000,True,censored
hamming,inversion,6,3,0,False,ok
hamming,inversion,6,4,55,False,ok
hamming,inversion,6,5,137,False,ok
hamming,inversion,6,6,35,False,ok
hamming,inversion,6,7,18,False,ok
hamming,inversion,6,8,181,False,ok
hamming,inversion,6,9,20,False,ok
hamming,inversion,6,10,10000,True,censored
hamming,inversion,6,11,252,False,ok
hamming,inversion,6,12,4,False,ok
hamming,inversion,6,13,156,False,ok
hamming,inversion,6,14,10000,True,censored
hamming,inversion,8,0,360,False,ok
hamming,inversion,8,1,33,False,ok
hamming,inversion,8,2,10000,True,censored
hamming,inversion,8,3,371,False,ok
hamming,inversion,8,4,10000,True,censored
hamming,inversion,8,5,10000,True,censored
hamming,inversion,8,6,10000,True,censored
hamming,inversion,8,7,10000,True,censored
hamming,inversion,8,8,10000,True,censored
hamming,inversion,8,9,71,False,ok
hamming,inversion,8,10,301,False,ok
hamming,inversion,8,11,167,False,ok
hamming,inversion,8,12,10000,True,censored
hamming,inversion,8,13,91,False,ok
hamming,inversion,8,14,10000,True,censored
hamming,inversion,10,0,1703,False,ok
hamming,inversion,10,1,1115,False,ok
hamming,inversion,10,2,10000,True,censored
hamming,inversion,10,3,10000,True,censored
hamming,inversion,10,4,10000,True,censored
hamming,inversion,10,5,10000,True,censored
hamming,inversion,10,6,10000,True,censored
hamming,inversion,10,7,10000,True,censored
hamming,inversion,10,8,10000,True,censored
hamming,inversion,10,9,10000,True,censored
hamming,inversion,10,10,10000,True,censored
hamming,inversion,10,11,1295,False,ok
hamming,inversion,10,12,10000,True,censored
hamming,inversion,10,13,10000,True,censored
hamming,inversion,10,14,10000,True,censored
hamming,inversion,12,0,10000,True,censored
hamming,inversion,12,1,825,False,ok
hamming,inversion,12,2,10000,True,censored
hamming,inversion,12,3,10000,True,censored
hamming,inversion,12,4,10000,True,censored
hamming,inversion,12,5,10000,True,censored
hamming,inversion,12,6,10000,True,censored
hamming,inversion,12,7,10000,True,censored
hamming,inversion,12,8,10000,True,censored
hamming,inversion,12,9,10000,True,censored
hamming,inversion,12,10,10000,True,censored
hamming,inversion,12,11,10000,True,censored
hamming,inversion,12,12,10000,True,censored
hamming,inversion,12,13,10000,True,censored
hamming,inversion,12,14,10000,True,censored
hamming,inversion,14,0,10000,True,skipped
hamming,inversion,14,1,10000,True,skipped
hamming,inversion,14,2,10000,True,skipped
hamming,inversion,14,3,10000,True,skipped
hamming,inversion,14,4,10000,True,skipped
hamming,inversion,14,5,10000,True,skipped
hamming,inversion,14,6,10000,True,skipped
hamming,inversion,14,7,10000,True,skipped
hamming,inversion,14,8,10000,True,skipped
hamming,inversion,14,9,10000,True,skipped
hamming,inversion,14,10,10000,True,skipped
hamming,inversion,14,11,10000,True,skipped
hamming,inversion,14,12,10000,True,skipped
hamming,inversion,14,13,10000,True,skipped
hamming,inversion,14,14,10000,True,skipped
hamming,inversion,16,0,10000,True,skipped
hamming,inversion,16,1,10000,True,skipped
hamming,inversion,16,2,10000,True,skipped
hamming,inversion,16,3,10000,True,skipped
hamming,inversion,16,4,10000,True,skipped
hamming,inversion,16,5,10000,True,skipped
hamming,inversion,16,6,10000,True,skipped
hamming,inversion,16,7,10000,True,skipped
hamming,inversion,16,8,10000,True,skipped
hamming,inversion,16,9,10000,True,skipped
hamming,inversion,16,10,10000,True,skipped
hamming,inversion,16,11,10000,True,skipped
hamming,inversion,16,12,10000,True,skipped
hamming,inversion,16,13,10000,True,skipped
hamming,inversion,16,14,10000,True,skipped
hamming,scramble,6,0,68,False,ok
hamming,scramble,6,1,236,False,ok
hamming,scramble,6,2,102,False,ok
hamming,scramble,6,3,0,False,ok
hamming,scramble,6,4,19,False,ok
hamming,scramble,6,5,1196,False,ok
hamming,scramble,6,6,32,False,ok
hamming,scramble,6,7,76,False,ok
hamming,scramble,6,8,108,False,ok
hamming,scramble,6,9,79,False,ok
hamming,scramble,6,10,5244,False,ok
hamming,scramble,6,11,69,False,ok
hamming,scramble,6,12,6,False,ok
hamming,scramble,6,13,32,False,ok
hamming,scramble,6,14,3747,False,ok
hamming,scramble,8,0,10000,True,censored
hamming,scramble,8,1,110,False,ok
hamming,scramble,8,2,4421,False,ok
hamming,scramble,8,3,2020,False,ok
hamming,scramble,8,4,10000,True,censored
hamming,scramble,8,5,1651,False,ok
hamming,scramble,8,6,43,False,ok
hamming,scramble,8,7,5214,False,ok
hamming,scramble,8,8,2519,False,ok
hamming,scramble,8,9,510,False,ok
hamming,scramble,8,10,31,False,ok
hamming,scramble,8,11,48,False,ok
hamming,scramble,8,12,356,False,ok
hamming,scramble,8,13,386,False,ok
hamming,scramble,8,14,10000,True,censored
hamming,scramble,10,0,5400,False,ok
hamming,scramble,10,1,10000,True,censored
hamming,scramble,10,2,10000,True,censored
hamming,scramble,10,3,968,False,ok
hamming,scramble,10,4,2736,False,ok
hamming,scramble,10,5,10000,True,censored
hamming,scramble,10,6,10000,True,censored
hamming,scramble,10,7,10000,True,censored
hamming,scramble,10,8,10000,True,censored
hamming,scramble,10,9,10000,True,censored
hamming,scramble,10,10,1986,False,ok
hamming,scramble,10,11,10000,True,censored
hamming,scramble,10,12,9160,False,ok
hamming,scramble,10,13,10000,True,censored
hamming,scramble,10,14,10000,True,censored
hamming,scramble,12,0,10000,True,censored
hamming,scramble,12,1,10000,True,censored
hamming,scramble,12,2,10000,True,censored
hamming,scramble,12,3,3714,False,ok
hamming,scramble,12,4,10000,True,censored
hamming,scramble,12,5,10000,True,censored
hamming,scramble,12,6,4056,False,ok
hamming,scramble,12,7,10000,True,censored
hamming,scramble,12,8,10000,True,censored
hamming,scramble,12,9,10000,True,censored
hamming,scramble,12,10,10000,True,censored
hamming,scramble,12,11,10000,True,censored
hamming,scramble,12,12,10000,True,censored
hamming,scramble,12,13,1039,False,ok
hamming,scramble,12,14,10000,True,censored
hamming,scramble,14,0,10000,True,censored
hamming,scramble,14,1,10000,True,censored
hamming,scramble,14,2,10000,True,censored
hamming,scramble,14,3,10000,True,censored
hamming,scramble,14,4,10000,True,censored
hamming,scramble,14,5,10000,True,censored
hamming,scramble,14,6,10000,True,censored
hamming,scramble,14,7,10000,True,censored
hamming,scramble,14,8,10000,True,censored
hamming,scramble,14,9,10000,True,censored
hamming,scramble,14,10,10000,True,censored
hamming,scramble,14,11,10000,True,censored
hamming,scramble,14,12,10000,True,censored
hamming,scramble,14,13,10000,True,censored
hamming,scramble,14,14,10000,True,censored
hamming,scramble,16,0,10000,True,skipped
hamming,scramble,16,1,10000,True,skipped
hamming,scramble,16,2,10000,True,skipped
hamming,scramble,16,3,10000,True,skipped
hamming,scramble,16,4,10000,True,skipped
hamming,scramble,16,5,10000,True,skipped
hamming,scramble,16,6,10000,True,skipped
hamming,scramble,16,7,10000,True,skipped
hamming,scramble,16,8,10000,True,skipped
hamming,scramble,16,9,10000,True,skipped
hamming,scramble,16,10,10000,True,skipped
hamming,scramble,16,11,10000,True,skipped
hamming,scramble,16,12,10000,True,skipped
hamming,scramble,16,13,10000,True,skipped
hamming,scramble,16,14,10000,True,skipped
kendall,swap,6,0,34,False,ok
kendall,swap,6,1,32,False,ok
kendall,swap,6,2,51,False,ok
kendall,swap,6,3,0,False,ok
kendall,swap,6,4,57,False,ok
kendall,swap,6,5,28,False,ok
kendall,swap,6,6,35,False,ok
kendall,swap,6,7,24,False,ok
kendall,swap,6,8,19,False,ok
kendall,swap,6,9,12,False,ok
kendall,swap,6,10,32,False,ok
kendall,swap,6,11,25,False,ok
kendall,swap,6,12,4,False,ok
kendall,swap,6,13,24,False,ok
kendall,swap,6,14,44,False,ok
kendall,swap,8,0,33,False,ok
kendall,swap,8,1,70,False,ok
kendall,swap,8,2,154,False,ok
kendall,swap,8,3,101,False,ok
kendall,swap,8,4,104,False,ok
kendall,swap,8,5,115,False,ok
kendall,swap,8,6,68,False,ok
kendall,swap,8,7,57,False,ok
kendall,swap,8,8,169,False,ok
kendall,swap,8,9,114,False,ok
kendall,swap,8,10,96,False,ok
kendall,swap,8,11,55,False,ok
kendall,swap,8,12,53,False,ok
kendall,swap,8,13,62,False,ok
kendall,swap,8,14,28,False,ok
kendall,swap,10,0,143,False,ok
kendall,swap,10,1,172,False,ok
kendall,swap,10,2,201,False,ok
kendall,swap,10,3,38,False,ok
kendall,swap,10,4,125,False,ok
kendall,swap,10,5,114,False,ok
kendall,swap,10,6,174,False,ok
kendall,swap,10,7,205,False,ok
kendall,swap,10,8,193,False,ok
kendall,swap,10,9,145,False,ok
kendall,swap,10,10,250,False,ok
kendall,swap,10,11,170,False,ok
kendall,swap,10,12,163,False,ok
kendall,swap,10,13,135,False,ok
kendall,swap,10,14,119,False,ok
kendall,swap,12,0,111,False,ok
kendall,swap,12,1,179,False,ok
kendall,swap,12,2,178,False,ok
kendall,swap,12,3,120,False,ok
kendall,swap,12,4,110,False,ok
kendall,swap,12,5,236,False,ok
kendall,swap,12,6,165,False,ok
kendall,swap,12,7,326,False,ok
kendall,swap,12,8,145,False,ok
kendall,swap,12,9,212,False,ok
kendall,swap,12,10,249,False,ok
kendall,swap,12,11,187,False,ok
kendall,swap,12,12,454,False,ok
kendall,swap,12,13,104,False,ok
kendall,swap,12,14,210,False,ok
kendall,swap,14,0,347,False,ok
kendall,swap,14,1,230,False,ok
kendall,swap,14,2,287,False,ok
kendall,swap,14,3,382,False,ok
kendall,swap,14,4,304,False,ok
kendall,swap,14,5,168,False,ok
kendall,swap,14,6,420,False,ok
kendall,swap,14,7,316,False,ok
kendall,swap,14,8,217,False,ok
kendall,swap,14,9,286,False,ok
kendall,swap,14,10,373,False,ok
kendall,swap,14,11,568,False,ok
kendall,swap,14,12,444,False,ok
kendall,swap,14,13,537,False,ok
kendall,swap,14,14,212,False,ok
kendall,swap,16,0,355,False,ok
kendall,swap,16,1,355,False,ok
kendall,swap,16,2,267,False,ok
kendall,swap,16,3,464,False,ok
kendall,swap,16,4,630,False,ok
kendall,swap,16,5,324,False,ok
kendall,swap,16,6,447,False,ok
kendall,swap,16,7,737,False,ok
kendall,swap,16,8,347,False,ok
kendall,swap,16,9,431,False,ok
kendall,swap,16,10,312,False,ok
kendall,swap,16,11,602,False,ok
kendall,swap,16,12,516,False,ok
kendall,swap,16,13,411,False,ok
kendall,swap,16,14,407,False,ok
kendall,insert,6,0,26,False,ok
kendall,insert,6,1,18,False,ok
kendall,insert,6,2,46,False,ok
kendall,insert,6,3,0,False,ok
kendall,insert,6,4,25,False,ok
kendall,insert,6,5,28,False,ok
kendall,insert,6,6,35,False,ok
kendall,insert,6,7,27,False,ok
kendall,insert,6,8,5,False,ok
kendall,insert,6,9,12,False,ok
