perm,qidx,correct
"[3, 2, 0, 4, 5, 1]",20,0
"[3, 2, 0, 4, 5, 1]",21,0
"[3, 2, 0, 4, 5, 1]",22,0
"[3, 2, 0, 4, 5, 1]",23,0
"[3, 2, 0, 4, 5, 1]",24,1
"[3, 2, 0, 4, 5, 1]",25,0
"[3, 2, 0, 4, 5, 1]",26,0
"[3, 2, 0, 4, 5, 1]",27,1
"[3, 2, 0, 4, 5, 1]",28,0
"[3, 2, 0, 4, 5, 1]",29,0
"[3, 2, 0, 4, 5, 1]",30,0
"[3, 2, 0, 4, 5, 1]",31,0
"[3, 2, 0, 1, 5, 4]",0,0
"[3, 2, 0, 1, 5, 4]",1,0
"[3, 2, 0, 1, 5, 4]",2,0
"[3, 2, 0, 1, 5, 4]",3,0
"[3, 2, 0, 1, 5, 4]",4,1
"[3, 2, 0, 1, 5, 4]",5,0
"[3, 2, 0, 1, 5, 4]",6,1
"[3, 2, 0, 1, 5, 4]",7,0
"[3, 2, 0, 1, 5, 4]",8,0
"[3, 2, 0, 1, 5, 4]",9,0
"[3, 2, 0, 1, 5, 4]",10,0
"[3, 2, 0, 1, 5, 4]",11,0
"[3, 2, 0, 1, 5, 4]",12,0
"[3, 2, 0, 1, 5, 4]",13,0
"[3, 2, 0, 1, 5, 4]",14,0
"[3, 2, 0, 1, 5, 4]",15,0
"[3, 2, 0, 1, 5, 4]",16,0
"[3, 2, 0, 1, 5, 4]",17,0
"[3, 2, 0, 1, 5, 4]",18,0
"[3, 2, 0, 1, 5, 4]",19,0
"[3, 2, 0, 1, 5, 4]",20,0
"[3, 2, 0, 1, 5, 4]",21,0
"[3, 2, 0, 1, 5, 4]",22,1
"[3, 2, 0, 1, 5, 4]",23,0
"[3, 2, 0, 1, 5, 4]",24,0
"[3, 2, 0, 1, 5, 4]",25,1
"[3, 2, 0, 1, 5, 4]",26,0
"[3, 2, 0, 1, 5, 4]",27,1
"[3, 2, 0, 1, 5, 4]",28,0
"[3, 2, 0, 1, 5, 4]",29,0
"[3, 2, 0, 1, 5, 4]",30,0
"[3, 2, 0, 1, 5, 4]",31,0
"[3, 2, 1, 5, 4, 0]",0,0
"[3, 2, 1, 5, 4, 0]",1,0
"[3, 2, 1, 5, 4, 0]",2,1
"[3, 2, 1, 5, 4, 0]",3,0
"[3, 2, 1, 5, 4, 0]",4,0
"[3, 2, 1, 5, 4, 0]",5,0
"[3, 2, 1, 5, 4, 0]",6,0
"[3, 2, 1, 5, 4, 0]",7,1
"[3, 2, 1, 5, 4, 0]",8,1
"[3, 2, 1, 5, 4, 0]",9,1
"[3, 2, 1, 5, 4, 0]",10,0
"[3, 2, 1, 5, 4, 0]",11,0
"[3, 2, 1, 5, 4, 0]",12,1
"[3, 2, 1, 5, 4, 0]",13,0
"[3, 2, 1, 5, 4, 0]",14,0
"[3, 2, 1, 5, 4, 0]",15,0
"[3, 2, 1, 5, 4, 0]",16,1
"[3, 2, 1, 5, 4, 0]",17,0
"[3, 2, 1, 5, 4, 0]",18,0
"[3, 2, 1, 5, 4, 0]",19,0
