landscape,method,seed,evals_to_optimum,best@200
parity_n7,hybrid,2,186,1.0
parity_n7,hybrid,3,141,1.0
parity_n7,hybrid,4,95,1.0
parity_n7,hybrid,5,185,1.0
parity_n7,hybrid,6,-1,0.9583
parity_n7,hybrid,7,63,1.0
parity_n7,hybrid,8,411,0.9583
parity_n7,hybrid,9,-1,0.9583
parity_n7,hybrid,10,-1,0.9583
parity_n7,hybrid,11,22,1.0
parity_n7,hybrid,12,-1,0.9583
parity_n7,hybrid,13,413,0.9583
parity_n7,hybrid,14,267,0.9167
parity_n7,hybrid,15,-1,0.9583
parity_n7,hybrid,16,217,0.9583
parity_n7,hybrid,17,224,0.9583
parity_n7,hybrid,18,-1,0.9583
parity_n7,hybrid,19,-1,0.9583
parity_n7,hybrid,20,136,1.0
parity_n7,hybrid,21,56,1.0
parity_n7,hybrid,22,120,1.0
parity_n7,hybrid,23,323,0.9583
parity_n7,hybrid,24,327,0.9583
parity_n7,hybrid,25,16,1.0
parity_n7,hybrid,26,417,0.9583
parity_n7,hybrid,27,-1,0.9583
parity_n7,hybrid,28,172,1.0
parity_n7,hybrid,29,63,1.0
parity_n7,hybrid,30,353,0.9583
parity_n7,hybrid,31,-1,0.9583
parity_n7,hybrid,32,356,0.9583
parity_n7,hybrid,33,-1,0.9583
parity_n7,hybrid,34,467,0.9583
parity_n7,hybrid,35,404,0.9167
parity_n7,hybrid,36,-1,0.9583
parity_n7,hybrid,37,100,1.0
parity_n7,hybrid,38,307,0.9583
parity_n7,hybrid,39,242,0.9583
parity_n7,surr-pos,0,13,1.0
parity_n7,surr-pos,1,63,1.0
parity_n7,surr-pos,2,430,0.9583
parity_n7,surr-pos,3,118,1.0
parity_n7,surr-pos,4,-1,0.9583
parity_n7,surr-pos,5,-1,0.9583
parity_n7,surr-pos,6,-1,0.9583
parity_n7,surr-pos,7,-1,0.9583
parity_n7,surr-pos,8,-1,0.9583
parity_n7,surr-pos,9,-1,0.9583
parity_n7,surr-pos,10,181,1.0
parity_n7,surr-pos,11,381,0.9583
parity_n7,surr-pos,12,67,1.0
parity_n7,surr-pos,13,18,1.0
parity_n7,surr-pos,14,151,1.0
parity_n7,surr-pos,15,168,1.0
parity_n7,surr-pos,16,179,1.0
parity_n7,surr-pos,17,53,1.0
parity_n7,surr-pos,18,72,1.0
parity_n7,surr-pos,19,231,0.9583
parity_n7,surr-pos,20,300,0.9583
parity_n7,surr-pos,21,249,0.9583
parity_n7,surr-pos,22,70,1.0
parity_n7,surr-pos,23,248,0.9583
parity_n7,surr-pos,24,368,0.9583
parity_n7,surr-pos,25,76,1.0
parity_n7,surr-pos,26,106,1.0
parity_n7,surr-pos,27,83,1.0
parity_n7,surr-pos,28,185,1.0
parity_n7,surr-pos,29,374,0.9583
parity_n7,surr-pos,30,369,0.9583
parity_n7,surr-pos,31,111,1.0
parity_n7,surr-pos,32,194,1.0
parity_n7,surr-pos,33,221,0.9583
parity_n7,surr-pos,34,241,0.9583
parity_n7,surr-pos,35,117,1.0
parity_n7,surr-pos,36,153,1.0
parity_n7,surr-pos,37,-1,0.9583
parity_n7,surr-pos,38,487,0.9583
parity_n7,surr-pos,39,238,0.9583
parity_n7,surr-prec,0,257,0.9583
parity_n7,surr-prec,1,68,1.0
parity_n7,surr-prec,2,106,1.0
parity_n7,surr-prec,3,258,0.9583
parity_n7,surr-prec,4,350,0.9583
parity_n7,surr-prec,5,49,1.0
parity_n7,surr-prec,6,492,0.9583
parity_n7,surr-prec,7,17,1.0
parity_n7,surr-prec,8,-1,0.9583
parity_n7,surr-prec,9,26,1.0
parity_n7,surr-prec,10,390,0.9583
parity_n7,surr-prec,11,-1,0.9583
parity_n7,surr-prec,12,-1,0.9583
parity_n7,surr-prec,13,126,1.0
parity_n7,surr-prec,14,193,1.0
parity_n7,surr-prec,15,304,0.9583
parity_n7,surr-prec,16,187,1.0
parity_n7,surr-prec,17,15,1.0
parity_n7,surr-prec,18,440,0.9583
parity_n7,surr-prec,19,32,1.0
parity_n7,surr-prec,20,227,0.9583
parity_n7,surr-prec,21,139,1.0
parity_n7,surr-prec,22,28,1.0
parity_n7,surr-prec,23,-1,0.9583
parity_n7,surr-prec,24,207,0.9583
parity_n7,surr-prec,25,410,0.9583
parity_n7,surr-prec,26,416,0.9583
parity_n7,surr-prec,27,359,0.9583
parity_n7,surr-prec,28,13,1.0
parity_n7,surr-prec,29,18,1.0
