landscape,family,n,method,seed,budget,evaluated,hit,best,optimum,regret,auc,best_at_15,best_at_25,best_at_50,best_at_100,best_at_200,hit_by_15,hit_by_25,hit_by_50,hit_by_100,hit_by_200
sciml_cubic_oscillator,sciml,6,uniform,0,200,200,190,0.999478,0.999478,0.0,0.99724887,0.997706,0.997706,0.998231,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,1,200,200,60,0.999478,0.999478,0.0,0.99898086,0.997885,0.998408,0.998408,0.999478,0.999478,0,0,0,1,1
sciml_cubic_oscillator,sciml,6,uniform,2,200,200,160,0.999478,0.999478,0.0,0.99774942,0.998392,0.998392,0.998392,0.998392,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,3,200,200,156,0.999478,0.999478,0.0,0.99831027,0.998408,0.998995,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,4,200,200,112,0.999478,0.999478,0.0,0.99773522,0.998231,0.998231,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,5,200,200,149,0.999478,0.999478,0.0,0.99900253,0.997705,0.998995,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,6,200,200,128,0.999478,0.999478,0.0,0.99893115,0.997593,0.998392,0.998889,0.998889,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,7,200,200,78,0.999478,0.999478,0.0,0.99924746,0.998995,0.998995,0.998995,0.999478,0.999478,0,0,0,1,1
sciml_cubic_oscillator,sciml,6,uniform,8,200,200,101,0.999478,0.999478,0.0,0.99804138,0.997682,0.997682,0.998252,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,9,200,200,145,0.999478,0.999478,0.0,0.99759012,0.99762,0.998995,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,10,200,200,138,0.999478,0.999478,0.0,0.99900982,0.998995,0.998995,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,11,200,200,30,0.999478,0.999478,0.0,0.99868875,0.997885,0.99827,0.999478,0.999478,0.999478,0,0,1,1,1
sciml_cubic_oscillator,sciml,6,uniform,12,200,200,106,0.999478,0.999478,0.0,0.99830086,0.997705,0.998995,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,13,200,200,187,0.999478,0.999478,0.0,0.99841639,0.998995,0.998995,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,14,200,200,5,0.999478,0.999478,0.0,0.99932396,0.999478,0.999478,0.999478,0.999478,0.999478,1,1,1,1,1
sciml_cubic_oscillator,sciml,6,uniform,15,200,200,27,0.999478,0.999478,0.0,0.99906876,0.99827,0.998995,0.999478,0.999478,0.999478,0,0,1,1,1
sciml_cubic_oscillator,sciml,6,uniform,16,200,200,52,0.999478,0.999478,0.0,0.99898301,0.996309,0.998387,0.998408,0.999478,0.999478,0,0,0,1,1
sciml_cubic_oscillator,sciml,6,uniform,17,200,200,,0.998995,0.999478,0.000483,0.99849964,0.99827,0.99827,0.998995,0.998995,0.998995,0,0,0,0,0
sciml_cubic_oscillator,sciml,6,uniform,18,200,200,,0.998995,0.999478,0.000483,0.99896982,0.998995,0.998995,0.998995,0.998995,0.998995,0,0,0,0,0
sciml_cubic_oscillator,sciml,6,uniform,19,200,200,,0.998995,0.999478,0.000483,0.9986466,0.998995,0.998995,0.998995,0.998995,0.998995,0,0,0,0,0
sciml_cubic_oscillator,sciml,6,uniform,20,200,200,,0.998995,0.999478,0.000483,0.99771455,0.998166,0.998252,0.998252,0.998408,0.998995,0,0,0,0,0
sciml_cubic_oscillator,sciml,6,uniform,21,200,200,106,0.999478,0.999478,0.0,0.99777627,0.997721,0.997806,0.998283,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,22,200,200,60,0.999478,0.999478,0.0,0.99903268,0.998889,0.998889,0.998889,0.999478,0.999478,0,0,0,1,1
sciml_cubic_oscillator,sciml,6,uniform,23,200,200,51,0.999478,0.999478,0.0,0.9990248,0.99762,0.998392,0.998995,0.999478,0.999478,0,0,0,1,1
sciml_cubic_oscillator,sciml,6,uniform,24,200,200,184,0.999478,0.999478,0.0,0.99814413,0.998995,0.998995,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,25,200,200,,0.998995,0.999478,0.000483,0.99887281,0.998387,0.998995,0.998995,0.998995,0.998995,0,0,0,0,0
sciml_cubic_oscillator,sciml,6,uniform,26,200,200,44,0.999478,0.999478,0.0,0.9991436,0.99827,0.99827,0.999478,0.999478,0.999478,0,0,1,1,1
sciml_cubic_oscillator,sciml,6,uniform,27,200,200,57,0.999478,0.999478,0.0,0.99895995,0.997313,0.997682,0.998283,0.999478,0.999478,0,0,0,1,1
sciml_cubic_oscillator,sciml,6,uniform,28,200,200,28,0.999478,0.999478,0.0,0.99917357,0.997885,0.997885,0.999478,0.999478,0.999478,0,0,1,1,1
sciml_cubic_oscillator,sciml,6,uniform,29,200,200,106,0.999478,0.999478,0.0,0.99800798,0.997706,0.998258,0.998889,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,30,200,200,,0.998995,0.999478,0.000483,0.99854507,0.99762,0.997624,0.998387,0.998889,0.998995,0,0,0,0,0
sciml_cubic_oscillator,sciml,6,uniform,31,200,200,,0.998995,0.999478,0.000483,0.99860947,0.997706,0.997706,0.997885,0.998995,0.998995,0,0,0,0,0
sciml_cubic_oscillator,sciml,6,uniform,32,200,200,,0.998995,0.999478,0.000483,0.99866135,0.998392,0.998995,0.998995,0.998995,0.998995,0,0,0,0,0
sciml_cubic_oscillator,sciml,6,uniform,33,200,200,,0.998995,0.999478,0.000483,0.9974791,0.998392,0.998889,0.998995,0.998995,0.998995,0,0,0,0,0
sciml_cubic_oscillator,sciml,6,uniform,34,200,200,162,0.999478,0.999478,0.0,0.99863948,0.997806,0.998889,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,35,200,200,188,0.999478,0.999478,0.0,0.99897031,0.998995,0.998995,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,36,200,200,192,0.999478,0.999478,0.0,0.9986772,0.997682,0.998252,0.998995,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,37,200,200,159,0.999478,0.999478,0.0,0.99777928,0.997571,0.998889,0.998889,0.998889,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,38,200,200,141,0.999478,0.999478,0.0,0.99889213,0.998283,0.998408,0.998408,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,uniform,39,200,200,177,0.999478,0.999478,0.0,0.99878459,0.998392,0.998392,0.998392,0.998995,0.999478,0,0,0,0,1
sciml_cubic_oscillator,sciml,6,ls_swap,0,200,200,25,0.999478,0.999478,0.0,0.99923269,0.998392,0.999478,0.999478,0.999478,0.999478,0,1,1,1,1
sciml_cubic_oscillator,sciml,6,ls_swap,1,200,200,66,0.999478,0.999478,0.0,0.99761579,0.998283,0.998995,0.998995,0.999478,0.999478,0,0,0,1,1
sciml_cubic_oscillator,sciml,6,ls_swap,2,200,200,88,0.999478,0.999478,0.0,0.99876628,0.99762,0.99762,0.99827,0.999478,0.999478,0,0,0,1,1
