landscape,family,n,method,seed,budget,evaluated,hit,best,optimum,regret,auc,best_at_15,best_at_25,best_at_50,best_at_100,best_at_200,hit_by_15,hit_by_25,hit_by_50,hit_by_100,hit_by_200
xor_n5,neural,5,uniform,0,120,120,13,1.0,1.0,0.0,0.99166667,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,1,120,120,28,1.0,1.0,0.0,0.97986111,0.91666667,0.91666667,1.0,1.0,1.0,0,0,1,1,1
xor_n5,neural,5,uniform,2,120,120,5,1.0,1.0,0.0,0.99097222,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,3,120,120,5,1.0,1.0,0.0,0.99583333,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,4,120,120,43,1.0,1.0,0.0,0.97083333,0.91666667,0.91666667,1.0,1.0,1.0,0,0,1,1,1
xor_n5,neural,5,uniform,5,120,120,4,1.0,1.0,0.0,0.99375,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,6,120,120,18,1.0,1.0,0.0,0.98680556,0.91666667,1.0,1.0,1.0,1.0,0,1,1,1,1
xor_n5,neural,5,uniform,7,120,120,8,1.0,1.0,0.0,0.99513889,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,8,120,120,6,1.0,1.0,0.0,0.99513889,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,9,120,120,23,1.0,1.0,0.0,0.98472222,0.91666667,1.0,1.0,1.0,1.0,0,1,1,1,1
xor_n5,neural,5,uniform,10,120,120,2,1.0,1.0,0.0,0.99791667,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,11,120,120,9,1.0,1.0,0.0,0.99444444,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,12,120,120,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,13,120,120,3,1.0,1.0,0.0,0.99861111,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,14,120,120,5,1.0,1.0,0.0,0.99583333,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,15,120,120,2,1.0,1.0,0.0,0.99861111,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,16,120,120,31,1.0,1.0,0.0,0.97916667,0.91666667,0.91666667,1.0,1.0,1.0,0,0,1,1,1
xor_n5,neural,5,uniform,17,120,120,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,18,120,120,15,1.0,1.0,0.0,0.98472222,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,19,120,120,2,1.0,1.0,0.0,0.99930556,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,20,120,120,17,1.0,1.0,0.0,0.98611111,0.91666667,1.0,1.0,1.0,1.0,0,1,1,1,1
xor_n5,neural,5,uniform,21,120,120,10,1.0,1.0,0.0,0.99305556,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,22,120,120,9,1.0,1.0,0.0,0.99444444,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,23,120,120,13,1.0,1.0,0.0,0.98819444,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,24,120,120,31,1.0,1.0,0.0,0.97430556,0.91666667,0.91666667,1.0,1.0,1.0,0,0,1,1,1
xor_n5,neural,5,uniform,25,120,120,15,1.0,1.0,0.0,0.99027778,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,26,120,120,38,1.0,1.0,0.0,0.97430556,0.91666667,0.91666667,1.0,1.0,1.0,0,0,1,1,1
xor_n5,neural,5,uniform,27,120,120,20,1.0,1.0,0.0,0.98402778,0.91666667,1.0,1.0,1.0,1.0,0,1,1,1,1
xor_n5,neural,5,uniform,28,120,120,4,1.0,1.0,0.0,0.99375,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,29,120,120,33,1.0,1.0,0.0,0.97708333,0.91666667,0.91666667,1.0,1.0,1.0,0,0,1,1,1
xor_n5,neural,5,uniform,30,120,120,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,31,120,120,31,1.0,1.0,0.0,0.97916667,0.91666667,0.91666667,1.0,1.0,1.0,0,0,1,1,1
xor_n5,neural,5,uniform,32,120,120,23,1.0,1.0,0.0,0.97986111,0.91666667,1.0,1.0,1.0,1.0,0,1,1,1,1
xor_n5,neural,5,uniform,33,120,120,24,1.0,1.0,0.0,0.97986111,0.91666667,1.0,1.0,1.0,1.0,0,1,1,1,1
xor_n5,neural,5,uniform,34,120,120,6,1.0,1.0,0.0,0.99305556,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,35,120,120,6,1.0,1.0,0.0,0.98958333,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,36,120,120,69,1.0,1.0,0.0,0.95069444,0.91666667,0.91666667,0.91666667,1.0,1.0,0,0,0,1,1
xor_n5,neural,5,uniform,37,120,120,24,1.0,1.0,0.0,0.98402778,0.91666667,1.0,1.0,1.0,1.0,0,1,1,1,1
xor_n5,neural,5,uniform,38,120,120,9,1.0,1.0,0.0,0.99166667,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,uniform,39,120,120,15,1.0,1.0,0.0,0.98472222,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,0,120,120,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,1,120,120,27,1.0,1.0,0.0,0.98125,0.91666667,0.91666667,1.0,1.0,1.0,0,0,1,1,1
xor_n5,neural,5,ls_swap,2,120,120,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,3,120,120,2,1.0,1.0,0.0,0.99861111,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,4,120,120,12,1.0,1.0,0.0,0.99236111,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,5,120,120,14,1.0,1.0,0.0,0.99097222,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,6,120,120,9,1.0,1.0,0.0,0.99444444,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,7,120,120,2,1.0,1.0,0.0,0.99791667,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,8,120,119,15,1.0,1.0,0.0,0.98879552,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,9,120,120,9,1.0,1.0,0.0,0.98888889,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,10,120,120,5,1.0,1.0,0.0,0.99583333,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,11,120,120,3,1.0,1.0,0.0,0.99444444,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,12,120,120,25,1.0,1.0,0.0,0.97986111,0.91666667,1.0,1.0,1.0,1.0,0,1,1,1,1
xor_n5,neural,5,ls_swap,13,120,120,3,1.0,1.0,0.0,0.99722222,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,14,120,120,3,1.0,1.0,0.0,0.99583333,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,15,120,120,7,1.0,1.0,0.0,0.99236111,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,16,120,120,11,1.0,1.0,0.0,0.98958333,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
xor_n5,neural,5,ls_swap,17,120,120,15,1.0,1.0,0.0,0.98680556,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
