landscape,family,n,method,seed,budget,evaluated,hit,best,optimum,regret,auc,best_at_15,best_at_25,best_at_50,best_at_100,best_at_200,hit_by_15,hit_by_25,hit_by_50,hit_by_100,hit_by_200
parity_n7,neural,7,uniform,0,200,200,,0.95833333,1.0,0.04166667,0.91666667,0.83333333,0.83333333,0.875,0.91666667,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,1,200,200,175,1.0,1.0,0.0,0.95895833,0.91666667,0.95833333,0.95833333,0.95833333,1.0,0,0,0,0,1
parity_n7,neural,7,uniform,2,200,200,161,1.0,1.0,0.0,0.9475,0.83333333,0.91666667,0.95833333,0.95833333,1.0,0,0,0,0,1
parity_n7,neural,7,uniform,3,200,200,188,1.0,1.0,0.0,0.944375,0.875,0.875,0.95833333,0.95833333,1.0,0,0,0,0,1
parity_n7,neural,7,uniform,4,200,200,,0.95833333,1.0,0.04166667,0.955,0.95833333,0.95833333,0.95833333,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,5,200,200,,0.95833333,1.0,0.04166667,0.91625,0.79166667,0.875,0.875,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,6,200,200,72,1.0,1.0,0.0,0.97270833,0.91666667,0.91666667,0.95833333,1.0,1.0,0,0,0,1,1
parity_n7,neural,7,uniform,7,200,200,,0.95833333,1.0,0.04166667,0.951875,0.91666667,0.95833333,0.95833333,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,8,200,200,111,1.0,1.0,0.0,0.948125,0.875,0.875,0.91666667,0.95833333,1.0,0,0,0,0,1
parity_n7,neural,7,uniform,9,200,200,,0.95833333,1.0,0.04166667,0.95270833,0.95833333,0.95833333,0.95833333,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,10,200,200,152,1.0,1.0,0.0,0.94770833,0.79166667,0.875,0.95833333,0.95833333,1.0,0,0,0,0,1
parity_n7,neural,7,uniform,11,200,200,,0.95833333,1.0,0.04166667,0.92541667,0.91666667,0.91666667,0.91666667,0.91666667,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,12,200,200,,0.95833333,1.0,0.04166667,0.950625,0.95833333,0.95833333,0.95833333,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,13,200,200,,0.95833333,1.0,0.04166667,0.940625,0.875,0.91666667,0.91666667,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,14,200,200,165,1.0,1.0,0.0,0.93791667,0.91666667,0.91666667,0.91666667,0.91666667,1.0,0,0,0,0,1
parity_n7,neural,7,uniform,15,200,200,,0.95833333,1.0,0.04166667,0.939375,0.91666667,0.91666667,0.91666667,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,16,200,200,130,1.0,1.0,0.0,0.96083333,0.875,0.95833333,0.95833333,0.95833333,1.0,0,0,0,0,1
parity_n7,neural,7,uniform,17,200,200,,0.95833333,1.0,0.04166667,0.925,0.79166667,0.91666667,0.91666667,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,18,200,200,,0.95833333,1.0,0.04166667,0.94145833,0.83333333,0.95833333,0.95833333,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,19,200,200,,0.95833333,1.0,0.04166667,0.94145833,0.91666667,0.91666667,0.95833333,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,20,200,200,,0.95833333,1.0,0.04166667,0.95395833,0.95833333,0.95833333,0.95833333,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,21,200,200,41,1.0,1.0,0.0,0.99166667,0.95833333,0.95833333,1.0,1.0,1.0,0,0,1,1,1
parity_n7,neural,7,uniform,22,200,200,,0.95833333,1.0,0.04166667,0.92458333,0.91666667,0.91666667,0.91666667,0.91666667,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,23,200,200,56,1.0,1.0,0.0,0.94166667,0.75,0.79166667,0.83333333,1.0,1.0,0,0,0,1,1
parity_n7,neural,7,uniform,24,200,200,,0.95833333,1.0,0.04166667,0.91979167,0.875,0.875,0.91666667,0.91666667,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,25,200,200,,0.95833333,1.0,0.04166667,0.93604167,0.83333333,0.875,0.91666667,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,26,200,200,110,1.0,1.0,0.0,0.95916667,0.83333333,0.83333333,0.95833333,0.95833333,1.0,0,0,0,0,1
parity_n7,neural,7,uniform,27,200,200,114,1.0,1.0,0.0,0.93791667,0.83333333,0.83333333,0.91666667,0.91666667,1.0,0,0,0,0,1
parity_n7,neural,7,uniform,28,200,200,,0.95833333,1.0,0.04166667,0.95395833,0.91666667,0.95833333,0.95833333,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,29,200,200,,0.95833333,1.0,0.04166667,0.93833333,0.875,0.91666667,0.91666667,0.95833333,0.95833333,0,0,0,0,0
parity_n7,neural,7,uniform,30,200,200,115,1.0,1.0,0.0,0.92145833,0.83333333,0.875,0.875,0.875,1.0,0,0,0,0,1
parity_n7,neural,7,uniform,31,200,200,90,1.0,1.0,0.0,0.96729167,0.95833333,0.95833333,0.95833333,1.0,1.0,0,0,0,1,1
parity_n7,neural,7,uniform,32,200,200,,0.95833333,1.0,0.04166667,0.92604167,0.875,0.875,0.91666667,0.91666667,0.95833333,0,0,0,0,0
