landscape,family,n,method,seed,budget,evaluated,hit,best,optimum,regret,auc,best_at_15,best_at_25,best_at_50,best_at_100,best_at_200,hit_by_15,hit_by_25,hit_by_50,hit_by_100,hit_by_200
adjacency_n7,synthetic,7,ea_aging,31,200,200,131,1.0,1.0,0.0,0.84083333,0.5,0.5,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_aging,32,200,200,116,1.0,1.0,0.0,0.82416667,0.33333333,0.5,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_aging,33,200,200,,0.83333333,1.0,0.16666667,0.76833333,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,34,200,200,113,1.0,1.0,0.0,0.81666667,0.33333333,0.5,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_aging,35,200,200,51,1.0,1.0,0.0,0.9075,0.5,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_aging,36,200,200,124,1.0,1.0,0.0,0.77083333,0.5,0.5,0.66666667,0.66666667,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_aging,37,200,200,,0.83333333,1.0,0.16666667,0.7225,0.5,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_aging,38,200,200,77,1.0,1.0,0.0,0.89666667,0.5,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_aging,39,200,200,,0.83333333,1.0,0.16666667,0.80416667,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,0,200,200,,0.83333333,1.0,0.16666667,0.80166667,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,1,200,200,69,1.0,1.0,0.0,0.90583333,0.66666667,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_elitist,2,200,200,35,1.0,1.0,0.0,0.95166667,0.66666667,0.83333333,1.0,1.0,1.0,0,0,1,1,1
adjacency_n7,synthetic,7,ea_elitist,3,200,200,160,1.0,1.0,0.0,0.83916667,0.66666667,0.66666667,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,4,200,200,,0.83333333,1.0,0.16666667,0.81666667,0.83333333,0.83333333,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,5,200,200,104,1.0,1.0,0.0,0.86833333,0.66666667,0.66666667,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,6,200,200,86,1.0,1.0,0.0,0.8925,0.66666667,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_elitist,7,200,200,109,1.0,1.0,0.0,0.84333333,0.66666667,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,8,200,200,,0.83333333,1.0,0.16666667,0.775,0.5,0.5,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,9,200,200,,0.83333333,1.0,0.16666667,0.77083333,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,10,200,200,56,1.0,1.0,0.0,0.92333333,0.66666667,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_elitist,11,200,200,77,1.0,1.0,0.0,0.91416667,0.66666667,0.83333333,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_elitist,12,200,200,,0.83333333,1.0,0.16666667,0.785,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,13,200,200,102,1.0,1.0,0.0,0.83666667,0.66666667,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,14,200,200,43,1.0,1.0,0.0,0.91833333,0.66666667,0.66666667,1.0,1.0,1.0,0,0,1,1,1
adjacency_n7,synthetic,7,ea_elitist,15,200,200,,0.83333333,1.0,0.16666667,0.82833333,0.83333333,0.83333333,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,16,200,200,,0.83333333,1.0,0.16666667,0.77166667,0.5,0.5,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,17,200,200,111,1.0,1.0,0.0,0.83916667,0.66666667,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,18,200,200,,0.83333333,1.0,0.16666667,0.78,0.5,0.5,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,19,200,200,160,1.0,1.0,0.0,0.81416667,0.5,0.66666667,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,20,200,200,,0.83333333,1.0,0.16666667,0.78916667,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,21,200,200,68,1.0,1.0,0.0,0.89666667,0.66666667,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_elitist,22,200,200,,0.83333333,1.0,0.16666667,0.78166667,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,23,200,200,,0.83333333,1.0,0.16666667,0.77416667,0.5,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,24,200,200,,0.83333333,1.0,0.16666667,0.76583333,0.5,0.5,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,25,200,200,141,1.0,1.0,0.0,0.75833333,0.5,0.5,0.66666667,0.66666667,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,26,200,200,168,1.0,1.0,0.0,0.71,0.5,0.66666667,0.66666667,0.66666667,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,27,200,200,,0.83333333,1.0,0.16666667,0.7925,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,28,200,200,104,1.0,1.0,0.0,0.87083333,0.66666667,0.66666667,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,29,200,200,,0.83333333,1.0,0.16666667,0.77666667,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,30,200,200,,0.83333333,1.0,0.16666667,0.74916667,0.5,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,31,200,200,195,1.0,1.0,0.0,0.76833333,0.5,0.5,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,32,200,200,162,1.0,1.0,0.0,0.75416667,0.33333333,0.5,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,33,200,200,,0.83333333,1.0,0.16666667,0.73416667,0.66666667,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,34,200,200,,0.83333333,1.0,0.16666667,0.70416667,0.33333333,0.5,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,35,200,200,,0.83333333,1.0,0.16666667,0.77833333,0.5,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_elitist,36,200,200,199,1.0,1.0,0.0,0.74583333,0.5,0.5,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_elitist,37,200,200,53,1.0,1.0,0.0,0.87833333,0.5,0.5,0.66666667,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_elitist,38,200,200,92,1.0,1.0,0.0,0.86666667,0.5,0.5,0.83333333,1.0,1.0,0,0,0,1,1
