landscape,family,method,budget,seeds,success,success_low,success_high,mean_best,mean_auc,mean_evals_to_hit,n_hits
adjacency_n7,synthetic,surrogate_positional,25,40,0.175,0.0875,0.3195,0.7375,0.854333,64.61,23
adjacency_n7,synthetic,surrogate_positional,50,40,0.325,0.2008,0.4798,0.854167,0.854333,64.61,23
adjacency_n7,synthetic,surrogate_positional,100,40,0.425,0.2851,0.5781,0.904167,0.854333,64.61,23
adjacency_n7,synthetic,surrogate_positional,200,40,0.575,0.4219,0.7149,0.929167,0.854333,64.61,23
adjacency_n7,synthetic,surrogate_precedence,15,40,0.075,0.0258,0.1986,0.691667,0.895083,57.39,33
adjacency_n7,synthetic,surrogate_precedence,25,40,0.175,0.0875,0.3195,0.7875,0.895083,57.39,33
adjacency_n7,synthetic,surrogate_precedence,50,40,0.45,0.3071,0.6017,0.895833,0.895083,57.39,33
adjacency_n7,synthetic,surrogate_precedence,100,40,0.725,0.5716,0.8389,0.95,0.895083,57.39,33
adjacency_n7,synthetic,surrogate_precedence,200,40,0.825,0.6805,0.9125,0.966667,0.895083,57.39,33
adjacency_n7,synthetic,uniform,15,40,0.0,0.0,0.0876,0.591667,0.720479,166.5,2
adjacency_n7,synthetic,uniform,25,40,0.0,0.0,0.0876,0.6625,0.720479,166.5,2
adjacency_n7,synthetic,uniform,50,40,0.0,0.0,0.0876,0.7,0.720479,166.5,2
adjacency_n7,synthetic,uniform,100,40,0.0,0.0,0.0876,0.75,0.720479,166.5,2
adjacency_n7,synthetic,uniform,200,40,0.05,0.0138,0.165,0.791667,0.720479,166.5,2
deceptive_n7,synthetic,ea_aging,15,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_aging,25,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_aging,50,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_aging,100,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_aging,200,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_elitist,15,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_elitist,25,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_elitist,50,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_elitist,100,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_elitist,200,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_portfolio,15,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_portfolio,25,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_portfolio,50,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_portfolio,100,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,ea_portfolio,200,40,0.0,0.0,0.0876,1.0,0.997714,,0
deceptive_n7,synthetic,eda_precedence,15,40,0.0,0.0,0.0876,1.0,1.020643,17.0,1
deceptive_n7,synthetic,eda_precedence,25,40,0.025,0.0044,0.1288,1.025,1.020643,17.0,1
deceptive_n7,synthetic,eda_precedence,50,40,0.025,0.0044,0.1288,1.025,1.020643,17.0,1
deceptive_n7,synthetic,eda_precedence,100,40,0.025,0.0044,0.1288,1.025,1.020643,17.0,1
deceptive_n7,synthetic,eda_precedence,200,40,0.025,0.0044,0.1288,1.025,1.020643,17.0,1
deceptive_n7,synthetic,iterated_local_search,15,40,0.0,0.0,0.0876,0.971429,1.001839,145.0,1
