perm,fitness
"[0, 4, 5, 2, 3, 1, 6]",0.875
"[0, 4, 5, 2, 3, 6, 1]",0.7083333333333334
"[0, 4, 5, 2, 6, 1, 3]",0.4583333333333333
"[0, 4, 5, 2, 6, 3, 1]",0.4583333333333333
"[0, 4, 5, 3, 1, 2, 6]",0.9583333333333334
"[0, 4, 5, 3, 1, 6, 2]",0.7916666666666666
"[0, 4, 5, 3, 2, 1, 6]",0.7083333333333334
"[0, 4, 5, 3, 2, 6, 1]",0.8333333333333334
"[0, 4, 5, 3, 6, 1, 2]",0.7083333333333334
"[0, 4, 5, 3, 6, 2, 1]",0.6666666666666666
"[0, 4, 5, 6, 1, 2, 3]",0.875
"[0, 4, 5, 6, 1, 3, 2]",0.6666666666666666
"[0, 4, 5, 6, 2, 1, 3]",0.8333333333333334
"[0, 4, 5, 6, 2, 3, 1]",0.7916666666666666
"[0, 4, 5, 6, 3, 1, 2]",0.6666666666666666
